"Dataset";"Ys";"variable";"value"
"train";"STANDING";"83 tBodyAccJerk-mean()-Z";-0.00387217635462227
"train";"WALKING";"83 tBodyAccJerk-mean()-Z";-0.00375555256860604
"train";"WALKING_DOWNSTAIRS";"83 tBodyAccJerk-mean()-Z";-0.00887530540913793
"train";"WALKING_UPSTAIRS";"83 tBodyAccJerk-mean()-Z";-0.0055333909217521
"test";"LAYING";"121 tBodyGyro-mean()-X";-0.0166314081294004
"test";"SITTING";"121 tBodyGyro-mean()-X";-0.0400046946661914
"test";"STANDING";"121 tBodyGyro-mean()-X";-0.0276270984325752
"test";"WALKING";"121 tBodyGyro-mean()-X";-0.0433151675165726
"test";"WALKING_DOWNSTAIRS";"121 tBodyGyro-mean()-X";-0.101341612095476
"test";"WALKING_UPSTAIRS";"121 tBodyGyro-mean()-X";-0.0252961131944798
"train";"LAYING";"121 tBodyGyro-mean()-X";-0.0167611908027991
"train";"SITTING";"121 tBodyGyro-mean()-X";-0.0378305948293904
"train";"STANDING";"121 tBodyGyro-mean()-X";-0.0263231980185808
"train";"WALKING";"121 tBodyGyro-mean()-X";-0.0312533147691762
"train";"WALKING_DOWNSTAIRS";"121 tBodyGyro-mean()-X";-0.0766623641270639
"train";"WALKING_UPSTAIRS";"121 tBodyGyro-mean()-X";0.0209240364789655
"test";"LAYING";"122 tBodyGyro-mean()-Y";-0.0979956312043575
"test";"SITTING";"122 tBodyGyro-mean()-Y";-0.0703346296040733
"test";"STANDING";"122 tBodyGyro-mean()-Y";-0.0719404272818233
"test";"WALKING";"122 tBodyGyro-mean()-Y";-0.0647420858230101
"test";"WALKING_DOWNSTAIRS";"122 tBodyGyro-mean()-Y";-0.0461447231649762
"test";"WALKING_UPSTAIRS";"122 tBodyGyro-mean()-Y";-0.0693319879901062
"train";"LAYING";"122 tBodyGyro-mean()-Y";-0.091660815198081
"train";"SITTING";"122 tBodyGyro-mean()-Y";-0.0728027807545334
"train";"STANDING";"122 tBodyGyro-mean()-Y";-0.0660746057299709
"train";"WALKING";"122 tBodyGyro-mean()-Y";-0.0713125942324959
"train";"WALKING_DOWNSTAIRS";"122 tBodyGyro-mean()-Y";-0.0559099218163377
"train";"WALKING_UPSTAIRS";"122 tBodyGyro-mean()-Y";-0.0969463358755993
"test";"LAYING";"123 tBodyGyro-mean()-Z";0.122576525847486
"test";"SITTING";"123 tBodyGyro-mean()-Z";0.0759514418063747
"test";"STANDING";"123 tBodyGyro-mean()-Z";0.0836650240665414
"test";"WALKING";"123 tBodyGyro-mean()-Z";0.0917220728034476
"test";"WALKING_DOWNSTAIRS";"123 tBodyGyro-mean()-Z";0.0964457295442619
"test";"WALKING_UPSTAIRS";"123 tBodyGyro-mean()-Z";0.0844374813053079
"train";"LAYING";"123 tBodyGyro-mean()-Z";0.127147917707889
"train";"SITTING";"123 tBodyGyro-mean()-Z";0.0784742074521695
"train";"STANDING";"123 tBodyGyro-mean()-Z";0.0787782501328239
"train";"WALKING";"123 tBodyGyro-mean()-Z";0.0841943988581277
"train";"WALKING_DOWNSTAIRS";"123 tBodyGyro-mean()-Z";0.0939252913958722
"train";"WALKING_UPSTAIRS";"123 tBodyGyro-mean()-Z";0.0491202105442125
"test";"LAYING";"161 tBodyGyroJerk-mean()-X";-0.101457328947858
"test";"SITTING";"161 tBodyGyroJerk-mean()-X";-0.0948832319185336
"test";"STANDING";"161 tBodyGyroJerk-mean()-X";-0.100461129155075
"test";"WALKING";"161 tBodyGyroJerk-mean()-X";-0.0878835560618952
"test";"WALKING_DOWNSTAIRS";"161 tBodyGyroJerk-mean()-X";-0.0695720976611905
"test";"WALKING_UPSTAIRS";"161 tBodyGyroJerk-mean()-X";-0.104105469604607
"train";"LAYING";"161 tBodyGyroJerk-mean()-X";-0.102019624959062
"train";"SITTING";"161 tBodyGyroJerk-mean()-X";-0.0959456649824261
"train";"STANDING";"161 tBodyGyroJerk-mean()-X";-0.0994459157848617
"train";"WALKING";"161 tBodyGyroJerk-mean()-X";-0.0968968860162643
"train";"WALKING_DOWNSTAIRS";"161 tBodyGyroJerk-mean()-X";-0.0742508688621095
"train";"WALKING_UPSTAIRS";"161 tBodyGyroJerk-mean()-X";-0.115634379434529
"test";"LAYING";"162 tBodyGyroJerk-mean()-Y";-0.03801389731527
"test";"SITTING";"162 tBodyGyroJerk-mean()-Y";-0.0412598892004073
"test";"STANDING";"162 tBodyGyroJerk-mean()-Y";-0.0419899598712406
"test";"WALKING";"162 tBodyGyroJerk-mean()-Y";-0.0452121990068548
"test";"WALKING_DOWNSTAIRS";"162 tBodyGyroJerk-mean()-Y";-0.0496904002757143
"test";"WALKING_UPSTAIRS";"162 tBodyGyroJerk-mean()-Y";-0.0370180926612527
"train";"LAYING";"162 tBodyGyroJerk-mean()-Y";-0.0382683832088763
"train";"SITTING";"162 tBodyGyroJerk-mean()-Y";-0.0405964730900187
"train";"STANDING";"162 tBodyGyroJerk-mean()-Y";-0.0424437794962882
"train";"WALKING";"162 tBodyGyroJerk-mean()-Y";-0.0443103427345922
"train";"WALKING_DOWNSTAIRS";"162 tBodyGyroJerk-mean()-Y";-0.0519342665009533
"train";"WALKING_UPSTAIRS";"162 tBodyGyroJerk-mean()-Y";-0.0393221127075303
"test";"LAYING";"163 tBodyGyroJerk-mean()-Z";-0.0634655948080075
"test";"SITTING";"163 tBodyGyroJerk-mean()-Z";-0.0493232638925051
"test";"STANDING";"163 tBodyGyroJerk-mean()-Z";-0.0528522741647744
"test";"WALKING";"163 tBodyGyroJerk-mean()-Z";-0.0579666753374798
"test";"WALKING_DOWNSTAIRS";"163 tBodyGyroJerk-mean()-Z";-0.0588719525257143
"test";"WALKING_UPSTAIRS";"163 tBodyGyroJerk-mean()-Z";-0.0539430325613588
"train";"LAYING";"163 tBodyGyroJerk-mean()-Z";-0.0639964642257285
"train";"SITTING";"163 tBodyGyroJerk-mean()-Z";-0.0513023722602862
"train";"STANDING";"163 tBodyGyroJerk-mean()-Z";-0.0518025512964192
"train";"WALKING";"163 tBodyGyroJerk-mean()-Z";-0.0524042952439478
"train";"WALKING_DOWNSTAIRS";"163 tBodyGyroJerk-mean()-Z";-0.052917414205284
"train";"WALKING_UPSTAIRS";"163 tBodyGyroJerk-mean()-Z";-0.0519831673859832
"test";"LAYING";"201 tBodyAccMag-mean()";-0.961578850614525
"test";"SITTING";"201 tBodyAccMag-mean()";-0.953534394704684
"test";"STANDING";"201 tBodyAccMag-mean()";-0.947440893270677
"test";"WALKING";"201 tBodyAccMag-mean()";-0.185612933587746
"test";"WALKING_DOWNSTAIRS";"201 tBodyAccMag-mean()";0.0164621317664286
"test";"WALKING_UPSTAIRS";"201 tBodyAccMag-mean()";-0.156596937200552
"train";"LAYING";"201 tBodyAccMag-mean()";-0.933298701817342
"train";"SITTING";"201 tBodyAccMag-mean()";-0.955067543234837
"train";"STANDING";"201 tBodyAccMag-mean()";-0.95678885018195
"train";"WALKING";"201 tBodyAccMag-mean()";-0.16078708767832
"train";"WALKING_DOWNSTAIRS";"201 tBodyAccMag-mean()";0.137366108163682
"train";"WALKING_UPSTAIRS";"201 tBodyAccMag-mean()";-0.0754501490696831
"test";"LAYING";"214 tGravityAccMag-mean()";-0.961578850614525
"test";"SITTING";"214 tGravityAccMag-mean()";-0.953534394704684
"test";"STANDING";"214 tGravityAccMag-mean()";-0.947440893270677
"test";"WALKING";"214 tGravityAccMag-mean()";-0.185612933587746
"test";"WALKING_DOWNSTAIRS";"214 tGravityAccMag-mean()";0.0164621317664286
"test";"WALKING_UPSTAIRS";"214 tGravityAccMag-mean()";-0.156596937200552
"train";"LAYING";"214 tGravityAccMag-mean()";-0.933298701817342
"train";"SITTING";"214 tGravityAccMag-mean()";-0.955067543234837
"train";"STANDING";"214 tGravityAccMag-mean()";-0.95678885018195
"train";"WALKING";"214 tGravityAccMag-mean()";-0.16078708767832
"train";"WALKING_DOWNSTAIRS";"214 tGravityAccMag-mean()";0.137366108163682
"train";"WALKING_UPSTAIRS";"214 tGravityAccMag-mean()";-0.0754501490696831
"test";"LAYING";"227 tBodyAccJerkMag-mean()";-0.979577853575419
"test";"SITTING";"227 tBodyAccJerkMag-mean()";-0.981076791425662
"test";"STANDING";"227 tBodyAccJerkMag-mean()";-0.972931858515038
"test";"WALKING";"227 tBodyAccJerkMag-mean()";-0.237173351544978
"test";"WALKING_DOWNSTAIRS";"227 tBodyAccJerkMag-mean()";-0.163692387624738
"test";"WALKING_UPSTAIRS";"227 tBodyAccJerkMag-mean()";-0.412947118942675
"train";"LAYING";"227 tBodyAccJerkMag-mean()";-0.979067883653163
"train";"SITTING";"227 tBodyAccJerkMag-mean()";-0.982966618413686
"train";"STANDING";"227 tBodyAccJerkMag-mean()";-0.978738869002911
"train";"WALKING";"227 tBodyAccJerkMag-mean()";-0.243182988691175
"train";"WALKING_DOWNSTAIRS";"227 tBodyAccJerkMag-mean()";-0.0896983345591278
"train";"WALKING_UPSTAIRS";"227 tBodyAccJerkMag-mean()";-0.38127785952479
"test";"LAYING";"240 tBodyGyroMag-mean()";-0.945435104413408
"test";"SITTING";"240 tBodyGyroMag-mean()";-0.944897951527495
"test";"STANDING";"240 tBodyGyroMag-mean()";-0.929095799830827
"test";"WALKING";"240 tBodyGyroMag-mean()";-0.318522629716532
"test";"WALKING_DOWNSTAIRS";"240 tBodyGyroMag-mean()";-0.188907287860786
"test";"WALKING_UPSTAIRS";"240 tBodyGyroMag-mean()";-0.20735406242569
"train";"LAYING";"240 tBodyGyroMag-mean()";-0.935764661371713
"train";"SITTING";"240 tBodyGyroMag-mean()";-0.94742138466563
"train";"STANDING";"240 tBodyGyroMag-mean()";-0.947207964796215
"train";"WALKING";"240 tBodyGyroMag-mean()";-0.257203964799315
"train";"WALKING_DOWNSTAIRS";"240 tBodyGyroMag-mean()";-0.104601976301298
"train";"WALKING_UPSTAIRS";"240 tBodyGyroMag-mean()";-0.165519411338164
"test";"LAYING";"253 tBodyGyroJerkMag-mean()";-0.981573659888268
"test";"SITTING";"253 tBodyGyroJerkMag-mean()";-0.986915690997963
"test";"STANDING";"253 tBodyGyroJerkMag-mean()";-0.973808504699248
"test";"WALKING";"253 tBodyGyroJerkMag-mean()";-0.486469326477823
"test";"WALKING_DOWNSTAIRS";"253 tBodyGyroJerkMag-mean()";-0.463187856659524
"test";"WALKING_UPSTAIRS";"253 tBodyGyroJerkMag-mean()";-0.623815676008493
"train";"LAYING";"253 tBodyGyroJerkMag-mean()";-0.983166670739161
"train";"SITTING";"253 tBodyGyroJerkMag-mean()";-0.988248275785381
"train";"STANDING";"253 tBodyGyroJerkMag-mean()";-0.980589908020378
"train";"WALKING";"253 tBodyGyroJerkMag-mean()";-0.450009825369331
"train";"WALKING_DOWNSTAIRS";"253 tBodyGyroJerkMag-mean()";-0.397171015459939
"train";"WALKING_UPSTAIRS";"253 tBodyGyroJerkMag-mean()";-0.601125454923672
"test";"LAYING";"266 fBodyAcc-mean()-X";-0.968327808193668
"test";"SITTING";"266 fBodyAcc-mean()-X";-0.982716887922607
"test";"STANDING";"266 fBodyAcc-mean()-X";-0.978289100733083
"test";"WALKING";"266 fBodyAcc-mean()-X";-0.294540792568548
"test";"WALKING_DOWNSTAIRS";"266 fBodyAcc-mean()-X";-0.0494806268985714
"test";"WALKING_UPSTAIRS";"266 fBodyAcc-mean()-X";-0.311470643287898
"train";"LAYING";"266 fBodyAcc-mean()-X";-0.96623357050462
"train";"SITTING";"266 fBodyAcc-mean()-X";-0.983235173297045
"train";"STANDING";"266 fBodyAcc-mean()-X";-0.982912890618632
"train";"WALKING";"266 fBodyAcc-mean()-X";-0.299246289954772
"train";"WALKING_DOWNSTAIRS";"266 fBodyAcc-mean()-X";0.0713559405859939
"train";"WALKING_UPSTAIRS";"266 fBodyAcc-mean()-X";-0.285477495368322
"test";"LAYING";"267 fBodyAcc-mean()-Y";-0.962864108901304
"test";"SITTING";"267 fBodyAcc-mean()-Y";-0.945651716354379
"test";"STANDING";"267 fBodyAcc-mean()-Y";-0.935336432838346
"test";"WALKING";"267 fBodyAcc-mean()-Y";-0.0479779302057258
"test";"WALKING_DOWNSTAIRS";"267 fBodyAcc-mean()-Y";0.0165795902297619
"test";"WALKING_UPSTAIRS";"267 fBodyAcc-mean()-Y";-0.163527702472505
"train";"LAYING";"267 fBodyAcc-mean()-Y";-0.948790913989339
"train";"SITTING";"267 fBodyAcc-mean()-Y";-0.948783229545879
"train";"STANDING";"267 fBodyAcc-mean()-Y";-0.946150893748181
"train";"WALKING";"267 fBodyAcc-mean()-Y";-0.0400579863409135
"train";"WALKING_DOWNSTAIRS";"267 fBodyAcc-mean()-Y";0.0737650952372211
"train";"WALKING_UPSTAIRS";"267 fBodyAcc-mean()-Y";-0.12240638059096
"test";"LAYING";"268 fBodyAcc-mean()-Z";-0.969993645065177
"test";"SITTING";"268 fBodyAcc-mean()-Z";-0.955853613588595
"test";"STANDING";"268 fBodyAcc-mean()-Z";-0.952981901785714
"test";"WALKING";"268 fBodyAcc-mean()-Z";-0.3951612810625
"test";"WALKING_DOWNSTAIRS";"268 fBodyAcc-mean()-Z";-0.262449728171024
"test";"WALKING_UPSTAIRS";"268 fBodyAcc-mean()-Z";-0.403859087158599
"train";"LAYING";"268 fBodyAcc-mean()-Z";-0.956210691862118
"train";"SITTING";"268 fBodyAcc-mean()-Z";-0.957480579844479
"train";"STANDING";"268 fBodyAcc-mean()-Z";-0.959054674475983
"train";"WALKING";"268 fBodyAcc-mean()-Z";-0.320268879986729
"train";"WALKING_DOWNSTAIRS";"268 fBodyAcc-mean()-Z";-0.192976080589219
"train";"WALKING_UPSTAIRS";"268 fBodyAcc-mean()-Z";-0.352435071945573
"test";"LAYING";"345 fBodyAccJerk-mean()-X";-0.980219864897579
"test";"SITTING";"345 fBodyAccJerk-mean()-X";-0.983854947474542
"test";"STANDING";"345 fBodyAccJerk-mean()-X";-0.975829558834586
"test";"WALKING";"345 fBodyAccJerk-mean()-X";-0.286425196154032
"test";"WALKING_DOWNSTAIRS";"345 fBodyAccJerk-mean()-X";-0.130190510361712
"test";"WALKING_UPSTAIRS";"345 fBodyAccJerk-mean()-X";-0.401066805742038
"train";"LAYING";"345 fBodyAccJerk-mean()-X";-0.980189178550107
"train";"SITTING";"345 fBodyAccJerk-mean()-X";-0.985698027869362
"train";"STANDING";"345 fBodyAccJerk-mean()-X";-0.981626816149927
"train";"WALKING";"345 fBodyAccJerk-mean()-X";-0.321121167768654
"train";"WALKING_DOWNSTAIRS";"345 fBodyAccJerk-mean()-X";-0.0476361590971602
"train";"WALKING_UPSTAIRS";"345 fBodyAccJerk-mean()-X";-0.384993618073159
"test";"LAYING";"346 fBodyAccJerk-mean()-Y";-0.972664254394786
"test";"SITTING";"346 fBodyAccJerk-mean()-Y";-0.971843441731161
"test";"STANDING";"346 fBodyAccJerk-mean()-Y";-0.958388878139098
"test";"WALKING";"346 fBodyAccJerk-mean()-Y";-0.163611924388669
"test";"WALKING_DOWNSTAIRS";"346 fBodyAccJerk-mean()-Y";-0.141035351083571
"test";"WALKING_UPSTAIRS";"346 fBodyAccJerk-mean()-Y";-0.38710223800034
"train";"LAYING";"346 fBodyAccJerk-mean()-Y";-0.97089486137882
"train";"SITTING";"346 fBodyAccJerk-mean()-Y";-0.974807063335925
"train";"STANDING";"346 fBodyAccJerk-mean()-Y";-0.966931953151383
"train";"WALKING";"346 fBodyAccJerk-mean()-Y";-0.173139305678834
"train";"WALKING_DOWNSTAIRS";"346 fBodyAccJerk-mean()-Y";-0.105878566493306
"train";"WALKING_UPSTAIRS";"346 fBodyAccJerk-mean()-Y";-0.35481868269617
"test";"LAYING";"347 fBodyAccJerk-mean()-Z";-0.977401070260708
"test";"SITTING";"347 fBodyAccJerk-mean()-Z";-0.978797028004073
"test";"STANDING";"347 fBodyAccJerk-mean()-Z";-0.972891029661654
"test";"WALKING";"347 fBodyAccJerk-mean()-Z";-0.492933167243952
"test";"WALKING_DOWNSTAIRS";"347 fBodyAccJerk-mean()-Z";-0.376826510175
"test";"WALKING_UPSTAIRS";"347 fBodyAccJerk-mean()-Z";-0.602911767919321
"train";"LAYING";"347 fBodyAccJerk-mean()-Z";-0.97631433684435
"train";"SITTING";"347 fBodyAccJerk-mean()-Z";-0.979854031073095
"train";"STANDING";"347 fBodyAccJerk-mean()-Z";-0.977422716790393
"train";"WALKING";"347 fBodyAccJerk-mean()-Z";-0.434049963153246
"train";"WALKING_DOWNSTAIRS";"347 fBodyAccJerk-mean()-Z";-0.314602839812373
"train";"WALKING_UPSTAIRS";"347 fBodyAccJerk-mean()-Z";-0.586735444993476
"test";"LAYING";"424 fBodyGyro-mean()-X";-0.969382140558659
"test";"SITTING";"424 fBodyGyro-mean()-X";-0.975674870224033
"test";"STANDING";"424 fBodyGyro-mean()-X";-0.929640505827068
"test";"WALKING";"424 fBodyGyro-mean()-X";-0.362109013486694
"test";"WALKING_DOWNSTAIRS";"424 fBodyGyro-mean()-X";-0.255811666394548
"test";"WALKING_UPSTAIRS";"424 fBodyGyro-mean()-X";-0.408927905006157
"train";"LAYING";"424 fBodyGyro-mean()-X";-0.960446780433049
"train";"SITTING";"424 fBodyGyro-mean()-X";-0.977875242783826
"train";"STANDING";"424 fBodyGyro-mean()-X";-0.949080252780204
"train";"WALKING";"424 fBodyGyro-mean()-X";-0.342625352351713
"train";"WALKING_DOWNSTAIRS";"424 fBodyGyro-mean()-X";-0.201783634086511
"train";"WALKING_UPSTAIRS";"424 fBodyGyro-mean()-X";-0.387804415129357
"test";"LAYING";"425 fBodyGyro-mean()-Y";-0.966120752178771
"test";"SITTING";"425 fBodyGyro-mean()-Y";-0.973174330101833
"test";"STANDING";"425 fBodyGyro-mean()-Y";-0.958267475281955
"test";"WALKING";"425 fBodyGyro-mean()-Y";-0.425951988348931
"test";"WALKING_DOWNSTAIRS";"425 fBodyGyro-mean()-Y";-0.389901050633571
"test";"WALKING_UPSTAIRS";"425 fBodyGyro-mean()-Y";-0.491062764201911
"train";"LAYING";"425 fBodyGyro-mean()-Y";-0.968139785280739
"train";"SITTING";"425 fBodyGyro-mean()-Y";-0.972183939828927
"train";"STANDING";"425 fBodyGyro-mean()-Y";-0.968026748042213
"train";"WALKING";"425 fBodyGyro-mean()-Y";-0.373186450008817
"train";"WALKING_DOWNSTAIRS";"425 fBodyGyro-mean()-Y";-0.28679197429716
"train";"WALKING_UPSTAIRS";"425 fBodyGyro-mean()-Y";-0.445290581715704
"test";"LAYING";"426 fBodyGyro-mean()-Z";-0.968285986927374
"test";"SITTING";"426 fBodyGyro-mean()-Z";-0.959785362179226
"test";"STANDING";"426 fBodyGyro-mean()-Z";-0.950343429605263
"test";"WALKING";"426 fBodyGyro-mean()-Z";-0.338214254380242
"test";"WALKING_DOWNSTAIRS";"426 fBodyGyro-mean()-Z";-0.195446042195476
"test";"WALKING_UPSTAIRS";"426 fBodyGyro-mean()-Z";-0.295292222497452
"train";"LAYING";"426 fBodyGyro-mean()-Z";-0.962619007583511
"train";"SITTING";"426 fBodyGyro-mean()-Z";-0.961503434618974
"train";"STANDING";"426 fBodyGyro-mean()-Z";-0.961498605240175
"train";"WALKING";"426 fBodyGyro-mean()-Z";-0.299156019251648
"train";"WALKING_DOWNSTAIRS";"426 fBodyGyro-mean()-Z";-0.152922530932252
"train";"WALKING_UPSTAIRS";"426 fBodyGyro-mean()-Z";-0.297544907199814
"test";"LAYING";"503 fBodyAccMag-mean()";-0.957424189783985
"test";"SITTING";"503 fBodyAccMag-mean()";-0.951721972551935
